Rk,PER,TS%,3PAr,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
140,9,0.476,0.297,0.092,17.5,-0.8,0.5,-0.3,-0.016,-3.4,-0.6,-4,-0.5
141,14.1,0.504,0.467,0.154,21.6,0.8,1,1.9,0.05,0.8,-1.3,-0.4,0.7
142,13.8,0.542,0,0.416,17.1,1.5,1.4,2.9,0.091,-2.6,-0.6,-3.2,-0.5
142,12.6,0.54,0,0.42,16.3,0.9,1,1.9,0.083,-3.2,-0.7,-3.9,-0.5
142,16.8,0.545,0,0.407,19.2,0.6,0.4,1,0.11,-1.2,-0.4,-1.6,0
143,16.6,0.524,0.327,0.24,21.6,3.6,1.8,5.4,0.094,1.6,-1,0.6,1.8
143,17.3,0.524,0.335,0.226,22.6,2.9,1.2,4,0.093,1.9,-1.5,0.4,1.3
143,14.7,0.523,0.299,0.294,18.5,0.7,0.6,1.3,0.097,0.4,0.6,1,0.5
144,13.4,0.522,0.628,0.254,18.7,2,1.8,3.8,0.1,0.1,0.8,0.9,1.3
145,5.8,0.441,0.01,0.46,14.6,-0.4,0.3,-0.1,-0.011,-6.5,-0.9,-7.4,-0.6
146,13.5,0.598,0.364,0.244,13.5,3.4,1.8,5.3,0.1,0.6,-0.4,0.2,1.4
147,8.9,0.486,0.301,0.195,12.8,1.2,2.5,3.7,0.078,-3.2,1.3,-2,0
148,7.1,0.444,0.338,0.142,18.5,-1.6,0.2,-1.3,-0.064,-3.9,-2.4,-6.3,-1.1
149,11.7,0.524,0.212,0.319,20.1,0.3,0.7,0.9,0.055,-2,-0.8,-2.9,-0.2
150,9.9,0.434,0.136,0.203,18.3,-0.7,0.8,0.2,0.011,-3.3,0.4,-2.9,-0.2
151,14.3,0.497,0.018,0.287,10.1,1.6,1.4,3,0.152,-0.6,0.1,-0.5,0.4
152,11.4,0.516,0.409,0.281,19.9,0.9,0.8,1.7,0.051,-1.1,-0.7,-1.8,0.1
153,12.8,0.557,0.53,0.129,16.9,2.7,2.1,4.7,0.09,-0.3,0,-0.3,1.1
154,9.9,0.419,0.008,0.209,16.5,-0.3,0.4,0.1,0.014,-5.7,-1.3,-7,-0.6
154,10.2,0.419,0.011,0.159,17.1,-0.2,0.2,0.1,0.013,-5.4,-1.3,-6.8,-0.4
154,9.1,0.417,0,0.317,15.3,-0.2,0.2,0.1,0.015,-6.2,-1.2,-7.3,-0.2
155,11.3,0.459,0.362,0.343,22.1,-0.3,0.2,-0.1,-0.015,-2.8,-0.1,-2.9,-0.1
155,4.9,0.398,0.273,0.455,21.2,-0.2,0,-0.1,-0.102,-6.5,-1.8,-8.3,-0.1
155,9.3,0.465,0.429,0.171,22.7,-0.1,0,-0.1,-0.05,-2.5,-0.2,-2.7,0
155,15.3,0.484,0.354,0.417,22.2,0,0.1,0.1,0.046,-1.3,0.7,-0.5,0.1
156,15.7,0.597,0.458,0.611,18.9,4.9,1.2,6.1,0.139,1.5,-0.8,0.7,1.4
156,15.6,0.6,0.47,0.57,18.5,4.2,0.7,4.9,0.14,1.4,-1.3,0.1,0.9
156,15.9,0.587,0.412,0.771,20.6,0.7,0.5,1.2,0.133,1.7,1.3,3,0.5
157,13.5,0.551,0.472,0.16,17.3,1.9,1.1,3,0.104,0.4,0.6,1,1
158,20.6,0.575,0.006,0.264,22.3,3.4,5.6,9,0.194,1.8,2.9,4.7,3.8
159,16.8,0.58,0.01,0.425,16.9,4,3.9,7.9,0.146,0.3,2,2.3,2.8
160,23.3,0.589,0.003,0.384,21.8,10,4.7,14.7,0.232,3.9,0.9,4.8,5.2
161,17.8,0.548,0.166,0.277,23.3,2.7,2.9,5.5,0.123,1.9,0.8,2.7,2.6
162,10.8,0.544,0.193,0.348,14.5,0.5,0.6,1,0.045,-2.1,-0.4,-2.5,-0.1
162,-2.1,0.333,0,0,15.3,-0.1,0,-0.1,-0.175,-8.5,-0.7,-9.2,0
162,9.9,0.496,0.074,0.444,14,0,0.1,0.1,0.023,-2.6,-0.2,-2.8,0
162,11.1,0.552,0.209,0.342,14.6,0.6,0.5,1,0.052,-1.9,-0.4,-2.3,-0.1
163,13,0.542,0.349,0.256,17.8,0.5,1.9,2.4,0.091,-1.6,1.4,-0.1,0.6
164,13.2,0.533,0.444,0.247,19.7,2,0.4,2.4,0.062,0.3,-0.7,-0.4,0.8
165,14.3,0.502,0.016,0.295,16.8,1.4,3.8,5.2,0.143,-2.2,1.4,-0.9,0.5
166,21.7,0.581,0.433,0.403,26,6.6,3.2,9.9,0.195,4.1,1.3,5.4,4.5
167,9,0.504,0.418,0.168,12.7,1.3,1.2,2.5,0.057,-2.1,0,-2.1,-0.1
168,15.9,0.487,0.055,0.282,24.6,0.3,1.5,1.8,0.101,-1.2,0.2,-1,0.2
