Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
112,16.8,0.605,0.363,14.8,2.9,2.1,4.9,0.147,-0.9,0.1,-0.8,0.5
113,16,0.677,0,19.9,0.2,0,0.2,0.15,3.7,-3.3,0.4,0
114,8,0.409,0.103,20.2,-0.2,0.1,-0.1,-0.023,-3.7,-2.3,-6,-0.2
115,7.5,0.476,0.414,13.7,-0.3,0.4,0.1,0.008,-5.7,-0.6,-6.3,-0.6
116,26.5,0.582,0.438,25.2,7.2,3.2,10.4,0.212,4,0.8,4.8,4
117,15.9,0.542,0.307,17.8,1.2,1.4,2.6,0.129,-1.3,0.1,-1.2,0.2
118,13.1,0.491,0.231,19.9,0.2,1.8,2,0.058,-2.2,-0.3,-2.5,-0.2
118,13.7,0.485,0.223,20.9,0.2,1.3,1.5,0.053,-1.8,-0.4,-2.1,0
118,10.3,0.527,0.284,15.5,0.1,0.4,0.5,0.079,-4.4,0.1,-4.3,-0.2
119,11,0.456,0.147,23.7,-0.1,0.2,0.1,0.047,-2.8,-1,-3.8,-0.1
119,2.4,0.279,0.231,19.7,-0.1,0,0,-0.067,-6.9,-3.4,-10.3,-0.1
119,13.5,0.499,0.127,24.8,0,0.2,0.2,0.08,-1.6,-0.4,-1.9,0
120,13.1,0.526,0.229,18.6,0.3,0.7,1,0.1,-1.1,1.3,0.2,0.3
120,13.2,0.545,0.237,18.6,0.1,0.5,0.6,0.101,-1.5,1.7,0.1,0.2
120,12.9,0.495,0.217,18.8,0.2,0.2,0.4,0.098,-0.5,0.8,0.3,0.1
121,10.7,0.5,0.386,13.1,0.1,0.5,0.6,0.07,-4.5,-0.3,-4.7,-0.3
121,-5.1,0.266,2,13.8,0,0,0,-0.107,-10.3,-3.2,-13.6,0
121,8.7,0.533,0.448,12.3,0,0.1,0.1,0.035,-5.8,0,-5.8,-0.1
121,12.5,0.488,0.321,13.5,0.1,0.4,0.5,0.096,-3.5,-0.4,-3.8,-0.1
122,10.7,0.534,0.162,13.2,1.4,0.7,2.1,0.078,-1.6,-0.2,-1.8,0.1
123,15.2,0.517,0.312,22.3,2.2,2.3,4.5,0.098,0.6,-0.1,0.4,1.4
123,17,0.536,0.35,25.1,1,1.4,2.4,0.132,1.5,1,2.5,1
123,14,0.503,0.285,20.6,1.3,0.9,2.2,0.077,0,-0.8,-0.9,0.4
124,18.4,0.532,0.448,28,5.8,3,8.8,0.141,1.9,-0.3,1.7,2.8
125,14.1,0.578,0.159,17,2.3,2.6,4.9,0.12,0.4,0.9,1.3,1.6
126,16.5,0.534,0.41,16.8,0.7,1.5,2.2,0.129,-2,0.9,-1.1,0.2
127,9.2,0.493,0.179,16.3,0.2,0.7,0.9,0.061,-2.5,0.5,-2,0
127,6.5,0.492,0.093,17.5,-0.1,0.3,0.2,0.028,-3.4,0.6,-2.9,-0.1
127,10.9,0.494,0.25,15.6,0.3,0.4,0.7,0.083,-1.9,0.5,-1.4,0.1
128,12.2,0.588,0.325,14.7,1.1,1.2,2.4,0.113,-1.1,0.5,-0.5,0.4
129,21.4,0.604,0.381,24.5,8.4,2,10.3,0.186,4.1,-0.2,3.9,4
130,22.6,0.599,0.427,16.7,6.4,3.5,9.9,0.182,2,-0.6,1.4,2.3
131,8.9,0.541,0.13,13.5,1.2,1.2,2.4,0.068,-1.4,-0.1,-1.5,0.2
132,21.3,0.535,0.349,25.2,2.8,4.6,7.4,0.164,1.2,2.1,3.3,2.9
133,12.6,0.549,0.212,17,2.4,4.1,6.5,0.121,-0.3,1.1,0.8,1.8
134,29.8,0.635,0.477,33,14.8,4.4,19.2,0.295,8.8,1.4,10.2,9.6
135,-1,0.333,0,14.9,0,0,0,-0.141,-8.7,-4.6,-13.3,0
136,12.2,0.554,0.087,16.4,0.4,0.2,0.7,0.084,-0.5,-0.2,-0.8,0.1
137,16.8,0.532,0.336,26,2.8,2.1,4.9,0.078,0.3,-0.5,-0.3,1.3
138,3.9,0.5,0,10.1,0,0,0,0.011,-7.5,-2.8,-10.3,-0.1
139,16.2,0.549,0.226,15.3,1.9,1,2.8,0.112,-0.7,-0.2,-0.9,0.3
140,11.7,0.516,0.867,13.4,0.3,1.2,1.5,0.08,-2.8,-0.5,-3.4,-0.3
140,9,0.462,1.102,13.6,-0.1,0.5,0.4,0.046,-4.4,-1.7,-6.1,-0.4
140,13.8,0.556,0.714,13.2,0.5,0.7,1.1,0.107,-1.6,0.4,-1.2,0.1
141,18.4,0.504,0.346,27.1,1.8,1.3,3.1,0.073,1.3,-0.7,0.6,1.3
142,19.8,0.573,0.379,21.3,4,2.5,6.5,0.144,1.2,-0.3,1,1.6
143,15,0.533,0.162,23.2,0.4,0.4,0.7,0.039,0.8,-1.6,-0.7,0.3
144,11,0.502,0.252,18.6,-0.3,0.7,0.3,0.031,-3.6,0.5,-3.2,-0.1
145,19,0.556,0.38,20.8,2.9,2.3,5.1,0.112,0,0.1,0.1,1.2
146,13.3,0.603,0.286,23.2,0,0,0,0.057,-1.3,-2.2,-3.4,0
147,12.9,0.476,0.201,18.2,1.1,1.1,2.2,0.053,-0.5,-0.7,-1.2,0.4
148,8.6,0.443,0.328,12.4,0,0.4,0.4,0.057,-2.4,1,-1.4,0.1
